행정구역+A1:R29,2014년_1인세대,2015년_1인세대,2016년_1인세대,2017년_1인세대,2018년_1인세대,2019년_1인세대,2020년_1인세대,2021년_1인세대,2022년_1인세대,2023년_1인세대,2014년_전체세대,2015년_전체세대,2016년_전체세대,2017년_전체세대,2018년_전체세대,2019년_전체세대,2020년_전체세대,2021년_전체세대,2022년_전체세대,2023년_전체세대,행정구역1,행정구역코드,행정시,행정구,1인가구비율
경기도 구리시 (4131000000),"21,927","21,694","22,331","22,967","24,037","25,234","27,123","27,542","28,095","28,264","71,639","71,602","74,499","77,306","79,735","79,870","81,520","80,616","80,424","80,450",경기도 구리시 ,4131000000,경기도,구리시 ,0.282
경기도 남양주시 (4136000000),"65,589","68,432","70,414","73,331","76,628","82,406","86,702","93,971","97,282","98,566","238,111","246,353","251,335","255,594","264,488","276,656","285,334","299,156","304,288","304,768",경기도 남양주시 ,4136000000,경기도,남양주시 ,0.983
경기도 오산시 (4137000000),"26,861","27,075","28,206","29,666","32,088","35,802","39,211","42,058","43,531","44,185","81,146","81,033","82,581","85,445","89,860","95,209","99,436","102,161","103,552","104,437",경기도 오산시 ,4137000000,경기도,오산시 ,0.441
경기도 시흥시 (4139000000),"55,176","55,034","55,329","57,833","62,179","68,553","76,863","82,790","85,158","87,400","156,293","157,755","159,978","167,802","181,061","194,750","211,150","220,421","223,534","228,474",경기도 시흥시 ,4139000000,경기도,시흥시 ,0.872
경기도 군포시 (4141000000),"27,731","28,221","28,585","29,246","30,997","33,715","36,333","38,424","39,482","39,913","106,280","106,771","106,646","106,645","107,548","110,005","112,476","113,205","113,878","113,032",경기도 군포시 ,4141000000,경기도,군포시 ,0.398
경기도 의왕시 (4143000000),"15,347","15,404","15,998","16,422","16,392","17,333","18,583","19,285","18,997","18,494","58,413","58,505","58,808","59,201","58,946","62,387","64,690","65,734","64,839","64,402",경기도 의왕시 ,4143000000,경기도,의왕시 ,0.184
경기도 하남시 (4145000000),"19,665","21,882","26,868","30,191","36,587","41,873","50,024","52,368","52,051","51,952","59,551","66,797","84,289","93,741","105,832","115,792","128,774","138,764","140,415","141,764",경기도 하남시 ,4145000000,경기도,하남시 ,0.518
경기도 용인시 (4146000000),"88,740","90,014","95,257","98,407","106,547","115,216","123,584","131,198","133,536","134,957","348,064","354,267","363,559","371,685","390,137","406,880","420,519","429,492","432,151","435,340",경기도 용인시 ,4146000000,경기도,용인시 ,1.346
경기도 파주시 (4148000000),"59,145","60,186","61,127","64,190","67,801","69,979","74,931","81,531","83,734","84,154","166,901","171,753","175,089","180,250","188,407","191,668","200,270","211,916","218,264","220,158",경기도 파주시 ,4148000000,경기도,파주시 ,0.839
경기도 이천시 (4150000000),"26,790","27,262","28,782","30,726","32,985","35,670","39,328","42,590","43,753","44,860","80,433","81,228","84,339","87,116","89,596","92,643","96,799","101,417","102,618","103,793",경기도 이천시 ,4150000000,경기도,이천시 ,0.448
경기도 안성시 (4155000000),"26,730","26,898","28,011","29,180","31,308","32,904","36,130","38,680","39,517","40,448","74,259","74,265","76,291","77,456","79,805","81,599","85,839","89,118","89,951","91,026",경기도 안성시 ,4155000000,경기도,안성시 ,0.403
경기도 김포시 (4157000000),"37,410","38,463","40,918","45,112","50,489","54,481","62,408","66,678","68,580","70,104","129,379","133,231","139,498","152,052","166,635","174,613","193,234","200,846","202,189","204,594",경기도 김포시 ,4157000000,경기도,김포시 ,0.699
경기도 화성시 (4159000000),"64,588","70,484","77,903","88,100","100,710","111,431","125,191","138,075","145,966","151,962","204,362","226,316","245,921","269,782","301,025","327,797","351,924","372,888","387,820","404,623",경기도 화성시 ,4159000000,경기도,화성시 ,1.516
